"name","description","short_name","id"
"Generación programada PBF Solar térmica","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción solar térmica. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Solar térmica",15
"Generación programada PBF Océano y geotérmica","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción océano y geotérmica. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Océano y geotérmica",16
"Generación programada PBF Gas Natural Cogeneración","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción gas natural cogeneración. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Gas Natural Cogeneración",17
"Generación programada PBF Derivados del petróleo ó carbón","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción derivados del petróleo o carbón. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Derivados del petróleo ó carbón",18
"Generación programada PBF Subproductos minería","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción subproductos minería. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Subproductos minería",19
"Generación programada PBF Energía residual","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción energía residual. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Energía residual",20
"Generación programada PBF Biomasa","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción biomasa. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Biomasa",21
"Generación programada PBF Biogás","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción biogás. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Biogás",22
"Generación programada PBF Residuos domésticos y similares","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción residuos domésticos y similares. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Residuos domésticos y similares",23
"Generación programada PBF Residuos varios","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción residuos varios. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Residuos varios",24
"Generación programada PBF Consumo bombeo","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción consumo bombeo. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Consumo bombeo",25
"Generación programada PBF Enlace Baleares","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación del enlace Baleares. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Enlace Baleares",26
"Generación programada PBF Genéricas","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo genéricas. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Genéricas",27
"Generación programada PBF Importación Francia","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de importación con Francia. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Importación Francia",28
"Generación programada PBF Importación Portugal","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de importación con Portugal. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Importación Portugal",29
"Generación programada PBF Importación Marruecos","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de importación con Marruecos. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Importación Marruecos",30
"Generación programada PBF Importación Andorra","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de importación con Andorra. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Importación Andorra",31
"Generación programada PBF Exportación Francia","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de exportación con Francia. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Exportación Francia",32
"Generación programada PBF Exportación Portugal","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de exportación con Portugal. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Exportación Portugal",33
"Generación programada PBF Exportación Marruecos","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de exportación con Marruecos. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Exportación Marruecos",34
"Generación programada PBF Exportación Andorra","Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de exportación con Andorra. Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución. Publicación: diariamente a partir de las 13:45 horas con la información del día D+1.","Exportación Andorra",35
"Generación programada PVP Hidráulica UGH","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Hidráulica UGH. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Hidráulica UGH",36
"Generación programada PVP Hidráulica no UGH","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Hidráulica no UGH. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Hidráulica no UGH",37
"Generación programada PVP Turbinación bombeo","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Turbinación bombeo. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Turbinación bombeo",38
"Generación programada PVP Nuclear","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Nuclear. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Nuclear",39
"Generación programada PVP Hulla antracita Anexo II RD 134/2010","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla antracita Anexo II RD 134/2010. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Hulla antracita RD 134/2010",40
"Generación programada PVP Hulla sub-bituminosa Anexo II RD 134/2010","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla sub-bituminosa Anexo II RD 134/2010. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Hulla sub-bituminosa RD 134/2010",41
"Generación programada PVP Hulla antracita","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla antracita. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Hulla antracita",42
"Generación programada PVP Hulla sub-bituminosa","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla sub-bituminosa. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Hulla sub-bituminosa",43
"Generación programada PVP Ciclo combinado","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Ciclo combinado. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Ciclo combinado",44
"Generación programada PVP Fuel","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Fuel. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Fuel",45
"Generación programada PVP Gas Natural - Turbina de vapor","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Gas Natural. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Turbina de vapor",46
"Generación programada PVP Eólica terrestre","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Eólica terrestre. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Eólica terrestre",47
"Generación programada PVP Eólica marina","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Eólica marina. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Eólica marina",48
"Generación programada PVP Solar fotovoltaica","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Solar fotovoltaica. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Solar fotovoltaica",49
"Generación programada PVP Solar térmica","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Solar térmica. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Solar térmica",50
"Generación programada PVP Océano y geotérmica","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Océano y geotérmica. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Océano y geotérmica",51
"Generación programada PVP Gas Natural Cogeneración","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Gas Natural Cogeneración. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Gas Natural Cogeneración",52
"Generación programada PVP Derivados del petróleo ó carbón","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Derivados del petróleo ó carbón. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Derivados del petróleo ó carbón",53
"Generación programada PVP Subproductos minería","Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda. En concreto este indicador se refiere a las unidades de programación con tipo de producción Subproductos minería. Publicación: diariamente a partir de las 16:00 horas con la información del día D+1.","Subproductos minería",54
